"","time_period","Austria","Belgium","Bulgaria","Cyprus","Czechia","Germany","Denmark","Estonia","Greece","Spain","Finland","France","Croatia","Hungary","Ireland","Italy","Lithuania","Luxembourg","Latvia","Malta","Netherlands","Poland","Portugal","Romania","Sweden","Slovenia","Slovakia"
"1",2001,657100000,898300000,12900000,40900000,263600000,7.224e+09,896900000,26900000,3.11e+08,1.836e+09,5.8e+08,6.613e+09,66700000,224600000,205200000,3.581e+09,13200000,86900000,11400000,4300000,2.393e+09,545700000,659900000,85600000,1130900000,49300000,24700000
"2",2002,687300000,976400000,14400000,44500000,319700000,7.186e+09,903200000,33500000,3.09e+08,2.068e+09,6.2e+08,7.535e+09,88400000,380600000,291400000,3.661e+09,22800000,95300000,15600000,4500000,2.745e+09,586700000,732600000,103700000,1139500000,62100000,40100000
"3",2003,703700000,1049200000,19500000,51500000,326400000,7.017e+09,908500000,39300000,3.05e+08,2.485e+09,6.88e+08,8.325e+09,97600000,241200000,230800000,3.657e+09,20800000,111900000,1.5e+07,6100000,2.988e+09,508900000,767800000,123200000,1096800000,63900000,59600000
"4",2004,6.95e+08,1040200000,21400000,53900000,386100000,6.737e+09,953200000,39300000,4.06e+08,2.974e+09,7.12e+08,8.697e+09,117900000,294900000,267900000,4.437e+09,28700000,116400000,18200000,4500000,2.887e+09,502100000,589400000,118300000,1103500000,72600000,65300000
"5",2005,739900000,1181900000,17900000,62800000,423800000,6.722e+09,989300000,58500000,4.34e+08,3.221e+09,6.91e+08,9.38e+09,136600000,322800000,303600000,3.978e+09,3.1e+07,113800000,25500000,6200000,3.002e+09,709400000,676800000,201100000,1251500000,75300000,67300000
"6",2006,792800000,1.265e+09,2.7e+07,66700000,585400000,6.865e+09,1030200000,78100000,4.31e+08,4.054e+09,7.06e+08,1.0018e+10,162600000,366300000,375400000,3.753e+09,37300000,116800000,56900000,3600000,3.25e+09,885800000,666600000,298900000,1.392e+09,88800000,62300000
"7",2007,849300000,1268500000,37300000,7.4e+07,611900000,7.14e+09,1086500000,71300000,4.61e+08,4.655e+09,7.64e+08,1.0578e+10,181600000,353500000,476100000,3.825e+09,4.9e+07,129700000,82100000,5200000,3.391e+09,1020400000,649900000,445700000,1481200000,92900000,81400000
"8",2008,910800000,1324900000,59400000,80100000,692200000,7.598e+09,1176500000,76700000,4.91e+08,4.802e+09,8.39e+08,1.0798e+10,201800000,408500000,581200000,3.667e+09,60100000,143600000,95100000,4700000,3.722e+09,1484300000,715900000,510700000,1648100000,107900000,96900000
"9",2009,876900000,1458800000,35500000,8.4e+07,731200000,7.635e+09,1084600000,70500000,4.67e+08,5.172e+09,8.4e+08,1.1264e+10,2.43e+08,352700000,3.25e+08,3.723e+09,58200000,1.64e+08,50300000,6600000,4.152e+09,1607600000,715800000,421500000,1567800000,106300000,114600000
"10",2010,866900000,1.502e+09,4.8e+07,81200000,668400000,7.987e+09,1.008e+09,67900000,3.95e+08,5.727e+09,8.76e+08,1.1722e+10,237500000,352900000,280500000,3625100000,49600000,170500000,37600000,8900000,3.985e+09,2277400000,707500000,433800000,1882100000,232300000,157900000
"11",2011,832800000,1539800000,53300000,82500000,628500000,7.634e+09,995900000,59100000,3.61e+08,5.04e+09,8.89e+08,1.2033e+10,229700000,341500000,247700000,3749400000,81300000,165300000,98400000,11100000,3.833e+09,2157800000,676400000,466600000,2088100000,1.27e+08,127800000
"12",2012,877900000,1784300000,70500000,71200000,600500000,7.209e+09,1025600000,62300000,3.97e+08,3.857e+09,9.73e+08,1.2331e+10,220300000,353900000,247300000,3377400000,48800000,197300000,38500000,12100000,3.593e+09,1849400000,573300000,446400000,2206200000,121200000,116900000
"13",2013,888100000,1635900000,55200000,58100000,592100000,7.217e+09,1029400000,86900000,4.12e+08,3.767e+09,9.7e+08,1.2747e+10,212600000,380300000,276400000,4189700000,48700000,240200000,39500000,10800000,3.589e+09,1594200000,624200000,358200000,2341400000,119800000,91200000
"14",2014,937900000,1479100000,249700000,53800000,632800000,7.421e+09,1017300000,85200000,5.87e+08,3.806e+09,9.36e+08,1.2418e+10,219300000,490900000,255200000,4.306e+09,57900000,240600000,62300000,7900000,3.422e+09,1770800000,507600000,470100000,2471800000,115800000,103800000
"15",2015,1.002e+09,1551300000,181200000,5.8e+07,646500000,7.594e+09,1083400000,80800000,6.18e+08,4.207e+09,1.016e+09,1.2012e+10,213600000,578100000,270900000,4.315e+09,53900000,241100000,64100000,12500000,3.802e+09,1.658e+09,576200000,4.68e+08,2422600000,1.31e+08,1.33e+08
"16",2016,990100000,1.656e+09,81400000,52800000,660700000,7.37e+09,1.099e+09,94600000,6.33e+08,4.205e+09,1.053e+09,1.2119e+10,186900000,1278900000,308500000,4.516e+09,70900000,261100000,63900000,9600000,3.712e+09,1448800000,492200000,4.34e+08,2562800000,110200000,122600000
"17",2017,1014500000,1.679e+09,110900000,59800000,810900000,7.927e+09,1108300000,131900000,6.65e+08,4.488e+09,1.188e+09,1.2539e+10,150400000,1464100000,281300000,4.45e+09,87900000,293500000,86500000,21900000,3.732e+09,1776800000,542500000,490200000,2557800000,119400000,126700000
"18",2018,1077800000,1921700000,8.9e+07,61600000,1.014e+09,8.443e+09,1166200000,137400000,7.89e+08,4.777e+09,1.331e+09,1.2747e+10,165600000,1329500000,359400000,4693500000,99100000,313500000,93400000,29500000,3.96e+09,2250100000,637300000,585200000,2588600000,145800000,175200000
"19",2019,1089800000,1910800000,64900000,82600000,1031600000,8.882e+09,1214300000,162900000,7.87e+08,5.165e+09,1.37e+09,1.375e+10,184600000,1579300000,3.66e+08,4881800000,122700000,333300000,76100000,27800000,4.165e+09,2352100000,668300000,662400000,2748800000,134400000,2.18e+08
"20",2020,1105700000,1699500000,148100000,76500000,1027500000,9.541e+09,1232900000,158400000,8.44e+08,4.959e+09,1.313e+09,1.2908e+10,187300000,1789900000,361600000,4390200000,155700000,316500000,68800000,21700000,4.333e+09,2078500000,694900000,651400000,3041700000,137900000,219200000
